愛,あい
唯一,ゆいいつ
勇気,ゆうき
有効,ゆうこう
優秀,ゆうしゅう
優勝,ゆうしょう
友情,ゆうじょう
友人,ゆうじん
有能,ゆうのう
郵便,ゆうびん
夕べ,ゆうべ
有利,ゆうり
床,ゆか
愉快,ゆかい
行き,ゆき
輸出,ゆしゅつ
譲る,ゆずる
ゆっくり,ゆっくり
許す,ゆるす
欧羅巴,ヨーロッパ
夜明け,よあけ
良い,よい
様,よう
酔う,よう
容易,ようい
陽気,ようき
要求,ようきゅう
用心,ようじん
様子,ようす
要するに,ようするに
要素,ようそ
要点,ようてん
曜日,ようび
予期,よき
横切る,よこぎる
止す,よす
予測,よそく
ヨット,ヨット
夜中,よなか
世の中,よのなか
余分,よぶん
予報,よほう
予防,よぼう
読み,よみ
嫁,よめ
余裕,よゆう
夜,よる
依ると,よると
喜び,よろこび
宜しい,よろしい
宜しく,よろしく
来,らい
ライター,ライター
楽,らく
ラケット,ラケット
利益,りえき
理解,りかい
陸,りく
利口,りこう
離婚,りこん
理想,りそう
理想,りそう
率,りつ
立派,りっぱ
留学,りゅうがく
量,りょう
両替,りょうがえ
料金,りょうきん
例,れい
礼,れい
礼儀,れいぎ
冷静,れいせい
列,れつ
列車,れっしゃ
レポート,レポート
練習,れんしゅう
連想,れんそう
連続,れんぞく
老人,ろうじん
労働,ろうどう
ロケット,ロケット
論じる,ろんじる
論争,ろんそう
論文,ろんぶん
輪,わ
ワイン,ワイン
我が儘,わがまま
別れ,わかれ
脇,わき
分ける,わける
態と,わざと
僅か,わずか
綿,わた
話題,わだい
笑い,わらい
割る,わる
我々,われわれ
湾,わん
